Job Title,Company Name,Location,Skills,Deadline,Original_Deadline
Software Engineer (Power BI),Cedar Gate Services,"Lalitpur, Nepal","Interpersonal Skills, Attention to Detail, Communication, Multitasking, SQL, Javascript",Apply Before: 9 hours from now,apply before: 9 hours from now
Technical Support Engineer,Software Development Company,Kathmandu,"Learning, Attention To Detail, Diversity, Facilities, Information Technology",Apply Before: 9 hours from now,apply before: 9 hours from now
AI Trainer,Swivt,"Sanepa, Lalitpur","Artificial Intelligence (Ai), Curriculum Development, Lesson Planning, English, Machine Learning",Apply Before: 9 hours from now,apply before: 9 hours from now
Cyber Security Intern,Astra Sec NP,Kathmandu,"Cybersecurity Tools, Application Security, Tech-Savvy, Network Security, Cybersecurity",Apply Before: 9 hours from now,apply before: 9 hours from now
Intelligence Analyst,Tesseract Intelligence,"Bhaktapur, Bāgmatī, Nepal","Analytical Skills, Critical Thinking, Geospatial Intelligence, Communication, Cybersecurity",Apply Before: 9 hours from now,apply before: 9 hours from now
iOS Developer,Cubit Incorporated Pvt. Ltd,"Anamnagar, Kathmandu, Nepal","Model-View-Controller (Mvc), Mobile Application Design, Core Animation, Core Data, Model-View-Viewmodel (Mvvm)",Apply Before: 9 hours from now,apply before: 9 hours from now
Frontend Engineer - React JS,Sunai,Kathmandu,"Html, Debugging, Html5, Cascading Style Sheets (Css), And Responsive Web Design",Apply Before: 9 hours from now,apply before: 9 hours from now
Associate Project Manager,Susankya Global,"Kathmandu, Bāgmatī, Nepal","Interpersonal Skills, Budgeting, Communication, Problem Solving, Multiple Projects Simultaneously",Apply Before: 9 hours from now,apply before: 9 hours from now
Full Stack Python & React.js,BlackBox Technologies,"Kathmandu, Bāgmatī, Nepal","Javascript Frameworks, Communication, Celery, Postgresql, Python (Programming Language)",Apply Before: 9 hours from now,apply before: 9 hours from now
Python Software Engineer,Soori Technology Pvt Ltd,"Kathmandu, Bāgmatī, Nepal","Continuous Integration And Continuous Delivery (Ci/Cd), Django, Back-End Web Development",Apply Before: 9 hours from now,apply before: 9 hours from now
Penetration Tester,vigilant cyber,"Kathmandu, Bāgmatī, Nepal","Ethical Hacking, Application Security, Hacking, Network Security, Cybersecurity",Apply Before: 9 hours from now,apply before: 9 hours from now
Assistant Manager IT,Accor,Kathmandu,,Apply Before: 9 hours from now,apply before: 9 hours from now
DevOps Engineer,Fonepay,Kathmandu,,Apply Before: 9 hours from now,apply before: 9 hours from now
Full Stack Angular Developer,,Kathmandu,"Cascading Style Sheets (Css), Angular, Node.Js, Python (Programming Language)",Apply Before: 9 hours from now,apply before: 9 hours from now
IT Engineer,Siddhartha Cable Car Pvt.Ltd.,Butwal-1,"Attention to Detail, Communication, Work Under Pressure, Database Management, Networking Skills","Apply Before: 1 day, 9 hours from now","apply before: 1 day, 9 hours from now"
Backend Engineer - Node JS,Sunai,Kathmandu,,"Apply Before: 1 day, 9 hours from now","apply before: 1 day, 9 hours from now"
AI Developer,Flaresight,Kathmandu,"Artificial Intelligence (Ai), Generative Ai, Deep Learning, Computer Vision, Large Language Model Operations (Llmops)","Apply Before: 1 day, 9 hours from now","apply before: 1 day, 9 hours from now"
PHP Node.js Developer,Software Development Company,Kathmandu,"Control Systems, Employee Benefits, Facilities, Agile Development, Cloud Infrastructure","Apply Before: 1 day, 9 hours from now","apply before: 1 day, 9 hours from now"
Enterprise Support Representati…,WorldLink Communications,"Dharan, Damak, Baglung, Kawasuti, Kapilvastu, Dadeldhura & …","Customer Handling, Customer Support, Customer Care, Network Troubleshooting, Networking Skills","Apply Before: 2 days, 9 hours from now","apply before: 2 days, 9 hours from now"
Business Growth Associate,WorldLink Communications,"Dharan,Baglung,Kawasuti,Nepalgunj,Kapilvastu,Dadeldhura,Tan…","MS Excel, Communication, Presentation, MS Word, Technical Support","Apply Before: 2 days, 9 hours from now","apply before: 2 days, 9 hours from now"
QA Engineer,Tuki Logic Pvt. Ltd.,"Kathmandu, Bāgmatī, Nepal","Api Testing, Computer Science, Communication, Problem Solving, Manual Testing","Apply Before: 3 days, 9 hours from now","apply before: 3 days, 9 hours from now"
Full Stack Developer,Ebibaaha,Nepal,"And Xml, Sass, Programming, Cascading Style Sheets (Css), Web Applications","Apply Before: 3 days, 9 hours from now","apply before: 3 days, 9 hours from now"
Senior Frontend Developer,Bottle,"Kathmandu, Bāgmatī, Nepal","Html5, Cascading Style Sheets (Css), Responsive Web Design, Front-End Development, Bootstrap (Framework)","Apply Before: 3 days, 9 hours from now","apply before: 3 days, 9 hours from now"
Java Software Engineer,Soori Technology Pvt Ltd,"Kathmandu, Bāgmatī, Nepal","Compensation, Hibernate, Data Architecture, Agile Development, Java","Apply Before: 3 days, 9 hours from now","apply before: 3 days, 9 hours from now"
Associate PHP Web Application D…,Seshra Innovation,"Bhaktapur, Bāgmatī, Nepal","Computer Engineering, Computer Science, Databases, Programming, Bootstrap (Framework)","Apply Before: 3 days, 9 hours from now","apply before: 3 days, 9 hours from now"
